| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0274-DET01 |        81.7 |        0.274 |      3.21 |    0.574 |  2.08 |  0.062 |
|    25 | OBJ0274-DET01 |       153.7 |        0.274 |      3.18 |    0.555 | 46.00 |  0.075 |
|    24 | OBJ0274-DET01 |       223.1 |        0.274 |      3.15 |    0.528 | 60.43 |  0.083 |
|    23 | OBJ0274-DET01 |       290.0 |        0.274 |      3.12 |    0.519 | 40.89 |  0.064 |
|    22 | OBJ0274-DET01 |       354.5 |        0.274 |      3.10 |    0.501 | 73.06 |  0.085 |
|    21 | OBJ0274-DET01 |       416.9 |        0.274 |      3.07 |    0.488 | 70.35 |  0.116 |
|    20 | OBJ0274-DET01 |       477.2 |        0.274 |      3.04 |    0.466 | 61.91 |  0.447 |
|    19 | OBJ0274-DET01 |       535.9 |        0.274 |      3.01 |    0.447 |  1.06 |  0.448 |
|    18 | OBJ0274-DET01 |       593.0 |        0.274 |      2.99 |    0.446 | 30.89 |  0.174 |
|    17 | OBJ0274-DET01 |       649.2 |        0.274 |      2.96 |    0.425 | 68.30 |  0.159 |
|    16 | OBJ0274-DET01 |       704.8 |        0.274 |      2.94 |    0.408 | 69.66 |  0.228 |
|    15 | OBJ0274-DET01 |       760.5 |        0.274 |      2.91 |    0.396 | 62.93 |  0.282 |
|    14 | OBJ0274-DET01 |       817.7 |        0.274 |      2.89 |    0.365 |  1.05 |  0.055 |
|    13 | OBJ0274-DET01 |       876.3 |        0.274 |      2.86 |    0.375 | 31.11 |  0.190 |
