| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0738-DET01 |       102.3 |        0.738 |      3.21 |    0.621 |  2.71 |  0.075 |
|    25 | OBJ0738-DET01 |       174.1 |        0.738 |      3.18 |    0.592 | 47.10 |  0.073 |
|    24 | OBJ0738-DET01 |       243.5 |        0.738 |      3.15 |    0.565 | 74.19 |  0.043 |
|    23 | OBJ0738-DET01 |       310.3 |        0.738 |      3.12 |    0.558 | 73.82 |  0.055 |
|    22 | OBJ0738-DET01 |       374.8 |        0.738 |      3.10 |    0.538 | 79.68 |  0.077 |
|    21 | OBJ0738-DET01 |       437.0 |        0.738 |      3.07 |    0.520 | 56.57 |  0.179 |
|    20 | OBJ0738-DET01 |       497.3 |        0.738 |      3.04 |    0.499 | 72.88 |  0.141 |
|    19 | OBJ0738-DET01 |       555.8 |        0.738 |      3.01 |    0.481 | 53.03 |  0.207 |
|    18 | OBJ0738-DET01 |       612.9 |        0.738 |      2.99 |    0.461 | 64.44 |  0.171 |
|    17 | OBJ0738-DET01 |       669.0 |        0.738 |      2.96 |    0.445 | 67.25 |  0.187 |
|    16 | OBJ0738-DET01 |       724.5 |        0.738 |      2.94 |    0.425 | 70.46 |  0.233 |
|    15 | OBJ0738-DET01 |       780.1 |        0.738 |      2.91 |    0.417 | 72.44 |  0.240 |
|    14 | OBJ0738-DET01 |       836.7 |        0.738 |      2.89 |    0.401 | 40.08 |  0.294 |
|    13 | OBJ0738-DET01 |       895.7 |        0.738 |      2.86 |    0.383 | 43.47 |  0.199 |
